;a;b;operation;calculated;cumulative;result;proof_size;seconds;response
prove_0;92;2;Mul;184;184;0.0;841;0.0010710839997045696;{'verificationValue': 0.0, 'proof': {'imageId': [1668793289, 846420925, 177576343, 3835873862, 66333553, 2894566030, 598275815, 2718278580], 'receipt': 'AwAAAAAAAAAAAAAAxAciAPPsD8genbvcCN2DvDmorNgPyU2p6hAM/h+8IU0pSDuhAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAQAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAEAAAAAQAEAAAAAAAAFAAAAMTg0LjAAAAAvAQAAeyJ3YXNfZmlyc3RfZXZlbnQiOnRydWUsImltYWdlX2lkIjpbMjk0ODYzMDc5MiwyNDgyMTM2NzExLDE1MTI2MTg2OTIsMzE5NzA4MjQxOCw4MjA5NjM4NjgsNDYzMjQzMDA1LDI4MTUxMzAwNDUsMzgzNTM1NDY1N10sInFmIjp7ImIiOlswLDQsMCwwLDAsMCwwLDAsMCw0LDAsMCwwLDAsMCwwLDAsMCwxMjgsMjYsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwXSwibCI6MSwicSI6NiwiciI6N319AAAAAAAAAAAAAAAAAEABAAAAAAAABQAAADE4NC4wAAAALwEAAHsid2FzX2ZpcnN0X2V2ZW50Ijp0cnVlLCJpbWFnZV9pZCI6WzI5NDg2MzA3OTIsMjQ4MjEzNjcxMSwxNTEyNjE4NjkyLDMxOTcwODI0MTgsODIwOTYzODY4LDQ2MzI0MzAwNSwyODE1MTMwMDQ1LDM4MzUzNTQ2NTddLCJxZiI6eyJiIjpbMCw0LDAsMCwwLDAsMCwwLDAsNCwwLDAsMCwwLDAsMCwwLDAsMTI4LDI2LDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMF0sImwiOjEsInEiOjYsInIiOjd9fQAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA=='}}
prove_1;8;9;Mul;72;256;0.0;833;0.0734759999995731;{'verificationValue': 0.0, 'proof': {'imageId': [1668793289, 846420925, 177576343, 3835873862, 66333553, 2894566030, 598275815, 2718278580], 'receipt': 'AwAAAAAAAAAAAAAAFPIgAEBa/KxpnrWjLW5ZBdoVsH8Dr4kePkUNGJK+LwGcLUh4AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAQAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAEAAAAAPAEAAAAAAAAFAAAAMjU2LjAAAAAqAQAAeyJ3YXNfZmlyc3RfZXZlbnQiOmZhbHNlLCJpbWFnZV9pZCI6WzE2Njg3OTMyODksODQ2NDIwOTI1LDE3NzU3NjM0MywzODM1ODczODYyLDY2MzMzNTUzLDI4OTQ1NjYwMzAsNTk4Mjc1ODE1LDI3MTgyNzg1ODBdLCJxZiI6eyJiIjpbMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMF0sImwiOjAsInEiOjYsInIiOjd9fQAAAAAAAAAAAAAAAAAAPAEAAAAAAAAFAAAAMjU2LjAAAAAqAQAAeyJ3YXNfZmlyc3RfZXZlbnQiOmZhbHNlLCJpbWFnZV9pZCI6WzE2Njg3OTMyODksODQ2NDIwOTI1LDE3NzU3NjM0MywzODM1ODczODYyLDY2MzMzNTUzLDI4OTQ1NjYwMzAsNTk4Mjc1ODE1LDI3MTgyNzg1ODBdLCJxZiI6eyJiIjpbMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMF0sImwiOjAsInEiOjYsInIiOjd9fQAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA='}}
prove_2;68;16;Mul;1088;1344;0.0;833;0.13144300000021758;{'verificationValue': 0.0, 'proof': {'imageId': [1668793289, 846420925, 177576343, 3835873862, 66333553, 2894566030, 598275815, 2718278580], 'receipt': 'AwAAAAAAAAAAAAAAFPIgAEBa/KxpnrWjLW5ZBdoVsH8Dr4kePkUNGJK+LwGcLUh4AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAQAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAEAAAAAPAEAAAAAAAAGAAAAMTM0NC4wAAAqAQAAeyJ3YXNfZmlyc3RfZXZlbnQiOmZhbHNlLCJpbWFnZV9pZCI6WzE2Njg3OTMyODksODQ2NDIwOTI1LDE3NzU3NjM0MywzODM1ODczODYyLDY2MzMzNTUzLDI4OTQ1NjYwMzAsNTk4Mjc1ODE1LDI3MTgyNzg1ODBdLCJxZiI6eyJiIjpbMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMF0sImwiOjAsInEiOjYsInIiOjd9fQAAAAAAAAAAAAAAAAAAPAEAAAAAAAAGAAAAMTM0NC4wAAAqAQAAeyJ3YXNfZmlyc3RfZXZlbnQiOmZhbHNlLCJpbWFnZV9pZCI6WzE2Njg3OTMyODksODQ2NDIwOTI1LDE3NzU3NjM0MywzODM1ODczODYyLDY2MzMzNTUzLDI4OTQ1NjYwMzAsNTk4Mjc1ODE1LDI3MTgyNzg1ODBdLCJxZiI6eyJiIjpbMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMF0sImwiOjAsInEiOjYsInIiOjd9fQAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA='}}
prove_3;54;58;Mul;3132;4476;0.0;833;0.19511483299902466;{'verificationValue': 0.0, 'proof': {'imageId': [1668793289, 846420925, 177576343, 3835873862, 66333553, 2894566030, 598275815, 2718278580], 'receipt': 'AwAAAAAAAAAAAAAAFPIgAEBa/KxpnrWjLW5ZBdoVsH8Dr4kePkUNGJK+LwGcLUh4AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAQAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAEAAAAAPAEAAAAAAAAGAAAANDQ3Ni4wAAAqAQAAeyJ3YXNfZmlyc3RfZXZlbnQiOmZhbHNlLCJpbWFnZV9pZCI6WzE2Njg3OTMyODksODQ2NDIwOTI1LDE3NzU3NjM0MywzODM1ODczODYyLDY2MzMzNTUzLDI4OTQ1NjYwMzAsNTk4Mjc1ODE1LDI3MTgyNzg1ODBdLCJxZiI6eyJiIjpbMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMF0sImwiOjAsInEiOjYsInIiOjd9fQAAAAAAAAAAAAAAAAAAPAEAAAAAAAAGAAAANDQ3Ni4wAAAqAQAAeyJ3YXNfZmlyc3RfZXZlbnQiOmZhbHNlLCJpbWFnZV9pZCI6WzE2Njg3OTMyODksODQ2NDIwOTI1LDE3NzU3NjM0MywzODM1ODczODYyLDY2MzMzNTUzLDI4OTQ1NjYwMzAsNTk4Mjc1ODE1LDI3MTgyNzg1ODBdLCJxZiI6eyJiIjpbMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMF0sImwiOjAsInEiOjYsInIiOjd9fQAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA='}}
prove_4;20;59;Mul;1180;5656;0.0;833;0.2601047500011191;{'verificationValue': 0.0, 'proof': {'imageId': [1668793289, 846420925, 177576343, 3835873862, 66333553, 2894566030, 598275815, 2718278580], 'receipt': 'AwAAAAAAAAAAAAAAFPIgAEBa/KxpnrWjLW5ZBdoVsH8Dr4kePkUNGJK+LwGcLUh4AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAQAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAEAAAAAPAEAAAAAAAAGAAAANTY1Ni4wAAAqAQAAeyJ3YXNfZmlyc3RfZXZlbnQiOmZhbHNlLCJpbWFnZV9pZCI6WzE2Njg3OTMyODksODQ2NDIwOTI1LDE3NzU3NjM0MywzODM1ODczODYyLDY2MzMzNTUzLDI4OTQ1NjYwMzAsNTk4Mjc1ODE1LDI3MTgyNzg1ODBdLCJxZiI6eyJiIjpbMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMF0sImwiOjAsInEiOjYsInIiOjd9fQAAAAAAAAAAAAAAAAAAPAEAAAAAAAAGAAAANTY1Ni4wAAAqAQAAeyJ3YXNfZmlyc3RfZXZlbnQiOmZhbHNlLCJpbWFnZV9pZCI6WzE2Njg3OTMyODksODQ2NDIwOTI1LDE3NzU3NjM0MywzODM1ODczODYyLDY2MzMzNTUzLDI4OTQ1NjYwMzAsNTk4Mjc1ODE1LDI3MTgyNzg1ODBdLCJxZiI6eyJiIjpbMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMF0sImwiOjAsInEiOjYsInIiOjd9fQAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA='}}
prove_5;52;15;Mul;780;6436;0.0;833;0.3235632080013602;{'verificationValue': 0.0, 'proof': {'imageId': [1668793289, 846420925, 177576343, 3835873862, 66333553, 2894566030, 598275815, 2718278580], 'receipt': 'AwAAAAAAAAAAAAAAFPIgAEBa/KxpnrWjLW5ZBdoVsH8Dr4kePkUNGJK+LwGcLUh4AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAQAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAEAAAAAPAEAAAAAAAAGAAAANjQzNi4wAAAqAQAAeyJ3YXNfZmlyc3RfZXZlbnQiOmZhbHNlLCJpbWFnZV9pZCI6WzE2Njg3OTMyODksODQ2NDIwOTI1LDE3NzU3NjM0MywzODM1ODczODYyLDY2MzMzNTUzLDI4OTQ1NjYwMzAsNTk4Mjc1ODE1LDI3MTgyNzg1ODBdLCJxZiI6eyJiIjpbMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMF0sImwiOjAsInEiOjYsInIiOjd9fQAAAAAAAAAAAAAAAAAAPAEAAAAAAAAGAAAANjQzNi4wAAAqAQAAeyJ3YXNfZmlyc3RfZXZlbnQiOmZhbHNlLCJpbWFnZV9pZCI6WzE2Njg3OTMyODksODQ2NDIwOTI1LDE3NzU3NjM0MywzODM1ODczODYyLDY2MzMzNTUzLDI4OTQ1NjYwMzAsNTk4Mjc1ODE1LDI3MTgyNzg1ODBdLCJxZiI6eyJiIjpbMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMF0sImwiOjAsInEiOjYsInIiOjd9fQAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA='}}
prove_6;88;38;Mul;3344;9780;0.0;833;0.387582207999003;{'verificationValue': 0.0, 'proof': {'imageId': [1668793289, 846420925, 177576343, 3835873862, 66333553, 2894566030, 598275815, 2718278580], 'receipt': 'AwAAAAAAAAAAAAAAFPIgAEBa/KxpnrWjLW5ZBdoVsH8Dr4kePkUNGJK+LwGcLUh4AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAQAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAEAAAAAPAEAAAAAAAAGAAAAOTc4MC4wAAAqAQAAeyJ3YXNfZmlyc3RfZXZlbnQiOmZhbHNlLCJpbWFnZV9pZCI6WzE2Njg3OTMyODksODQ2NDIwOTI1LDE3NzU3NjM0MywzODM1ODczODYyLDY2MzMzNTUzLDI4OTQ1NjYwMzAsNTk4Mjc1ODE1LDI3MTgyNzg1ODBdLCJxZiI6eyJiIjpbMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMF0sImwiOjAsInEiOjYsInIiOjd9fQAAAAAAAAAAAAAAAAAAPAEAAAAAAAAGAAAAOTc4MC4wAAAqAQAAeyJ3YXNfZmlyc3RfZXZlbnQiOmZhbHNlLCJpbWFnZV9pZCI6WzE2Njg3OTMyODksODQ2NDIwOTI1LDE3NzU3NjM0MywzODM1ODczODYyLDY2MzMzNTUzLDI4OTQ1NjYwMzAsNTk4Mjc1ODE1LDI3MTgyNzg1ODBdLCJxZiI6eyJiIjpbMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMF0sImwiOjAsInEiOjYsInIiOjd9fQAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA='}}
prove_7;89;61;Mul;5429;15209;0.0;833;0.45335125000019616;{'verificationValue': 0.0, 'proof': {'imageId': [1668793289, 846420925, 177576343, 3835873862, 66333553, 2894566030, 598275815, 2718278580], 'receipt': 'AwAAAAAAAAAAAAAAFPIgAEBa/KxpnrWjLW5ZBdoVsH8Dr4kePkUNGJK+LwGcLUh4AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAQAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAEAAAAAPAEAAAAAAAAHAAAAMTUyMDkuMAAqAQAAeyJ3YXNfZmlyc3RfZXZlbnQiOmZhbHNlLCJpbWFnZV9pZCI6WzE2Njg3OTMyODksODQ2NDIwOTI1LDE3NzU3NjM0MywzODM1ODczODYyLDY2MzMzNTUzLDI4OTQ1NjYwMzAsNTk4Mjc1ODE1LDI3MTgyNzg1ODBdLCJxZiI6eyJiIjpbMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMF0sImwiOjAsInEiOjYsInIiOjd9fQAAAAAAAAAAAAAAAAAAPAEAAAAAAAAHAAAAMTUyMDkuMAAqAQAAeyJ3YXNfZmlyc3RfZXZlbnQiOmZhbHNlLCJpbWFnZV9pZCI6WzE2Njg3OTMyODksODQ2NDIwOTI1LDE3NzU3NjM0MywzODM1ODczODYyLDY2MzMzNTUzLDI4OTQ1NjYwMzAsNTk4Mjc1ODE1LDI3MTgyNzg1ODBdLCJxZiI6eyJiIjpbMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMF0sImwiOjAsInEiOjYsInIiOjd9fQAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA='}}
prove_8;3;72;Mul;216;15425;0.0;833;0.5163716249990102;{'verificationValue': 0.0, 'proof': {'imageId': [1668793289, 846420925, 177576343, 3835873862, 66333553, 2894566030, 598275815, 2718278580], 'receipt': 'AwAAAAAAAAAAAAAAFPIgAEBa/KxpnrWjLW5ZBdoVsH8Dr4kePkUNGJK+LwGcLUh4AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAQAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAEAAAAAPAEAAAAAAAAHAAAAMTU0MjUuMAAqAQAAeyJ3YXNfZmlyc3RfZXZlbnQiOmZhbHNlLCJpbWFnZV9pZCI6WzE2Njg3OTMyODksODQ2NDIwOTI1LDE3NzU3NjM0MywzODM1ODczODYyLDY2MzMzNTUzLDI4OTQ1NjYwMzAsNTk4Mjc1ODE1LDI3MTgyNzg1ODBdLCJxZiI6eyJiIjpbMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMF0sImwiOjAsInEiOjYsInIiOjd9fQAAAAAAAAAAAAAAAAAAPAEAAAAAAAAHAAAAMTU0MjUuMAAqAQAAeyJ3YXNfZmlyc3RfZXZlbnQiOmZhbHNlLCJpbWFnZV9pZCI6WzE2Njg3OTMyODksODQ2NDIwOTI1LDE3NzU3NjM0MywzODM1ODczODYyLDY2MzMzNTUzLDI4OTQ1NjYwMzAsNTk4Mjc1ODE1LDI3MTgyNzg1ODBdLCJxZiI6eyJiIjpbMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMF0sImwiOjAsInEiOjYsInIiOjd9fQAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA='}}
prove_9;2;77;Mul;154;15579;0.0;833;0.5812837089997629;{'verificationValue': 0.0, 'proof': {'imageId': [1668793289, 846420925, 177576343, 3835873862, 66333553, 2894566030, 598275815, 2718278580], 'receipt': 'AwAAAAAAAAAAAAAAFPIgAEBa/KxpnrWjLW5ZBdoVsH8Dr4kePkUNGJK+LwGcLUh4AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAQAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAEAAAAAPAEAAAAAAAAHAAAAMTU1NzkuMAAqAQAAeyJ3YXNfZmlyc3RfZXZlbnQiOmZhbHNlLCJpbWFnZV9pZCI6WzE2Njg3OTMyODksODQ2NDIwOTI1LDE3NzU3NjM0MywzODM1ODczODYyLDY2MzMzNTUzLDI4OTQ1NjYwMzAsNTk4Mjc1ODE1LDI3MTgyNzg1ODBdLCJxZiI6eyJiIjpbMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMF0sImwiOjAsInEiOjYsInIiOjd9fQAAAAAAAAAAAAAAAAAAPAEAAAAAAAAHAAAAMTU1NzkuMAAqAQAAeyJ3YXNfZmlyc3RfZXZlbnQiOmZhbHNlLCJpbWFnZV9pZCI6WzE2Njg3OTMyODksODQ2NDIwOTI1LDE3NzU3NjM0MywzODM1ODczODYyLDY2MzMzNTUzLDI4OTQ1NjYwMzAsNTk4Mjc1ODE1LDI3MTgyNzg1ODBdLCJxZiI6eyJiIjpbMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMF0sImwiOjAsInEiOjYsInIiOjd9fQAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA='}}
