;a;b;operation;calculated;cumulative;result;proof_size;seconds;response
prove_0;92;2;Mul;184;184;184.0;841;0.08165254100094899;{'verificationValue': 184.0, 'proof': {'imageId': [235478173, 1426634340, 1724434694, 1269151235, 2299687509, 3333770039, 3761160093, 4005458376], 'receipt': 'AwAAAAAAAAAAAAAAmL4gACyGqXD9SCTqBr57Fe21xvS89IksDAnB7FD2cs3kOUscAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAQAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAEAAAAAQAEAAAAAAAAFAAAAMTg0LjAAAAAtAQAAeyJ3YXNfZmlyc3RfZXZlbnQiOnRydWUsImltYWdlX2lkIjpbMjM1NDc4MTczLDE0MjY2MzQzNDAsMTcyNDQzNDY5NCwxMjY5MTUxMjM1LDIyOTk2ODc1MDksMzMzMzc3MDAzOSwzNzYxMTYwMDkzLDQwMDU0NTgzNzZdLCJxZiI6eyJiIjpbMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMF0sImwiOjAsInEiOjYsInIiOjd9fQAAAAAAAAAAAAAAAAAAAEABAAAAAAAABQAAADE4NC4wAAAALQEAAHsid2FzX2ZpcnN0X2V2ZW50Ijp0cnVlLCJpbWFnZV9pZCI6WzIzNTQ3ODE3MywxNDI2NjM0MzQwLDE3MjQ0MzQ2OTQsMTI2OTE1MTIzNSwyMjk5Njg3NTA5LDMzMzM3NzAwMzksMzc2MTE2MDA5Myw0MDA1NDU4Mzc2XSwicWYiOnsiYiI6WzAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDBdLCJsIjowLCJxIjo2LCJyIjo3fX0AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA=='}}
prove_1;8;9;Mul;72;256;256.0;841;0.06331412500003353;{'verificationValue': 256.0, 'proof': {'imageId': [235478173, 1426634340, 1724434694, 1269151235, 2299687509, 3333770039, 3761160093, 4005458376], 'receipt': 'AwAAAAAAAAAAAAAAmL4gACyGqXD9SCTqBr57Fe21xvS89IksDAnB7FD2cs3kOUscAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAQAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAEAAAAAQAEAAAAAAAAFAAAAMjU2LjAAAAAtAQAAeyJ3YXNfZmlyc3RfZXZlbnQiOnRydWUsImltYWdlX2lkIjpbMjM1NDc4MTczLDE0MjY2MzQzNDAsMTcyNDQzNDY5NCwxMjY5MTUxMjM1LDIyOTk2ODc1MDksMzMzMzc3MDAzOSwzNzYxMTYwMDkzLDQwMDU0NTgzNzZdLCJxZiI6eyJiIjpbMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMF0sImwiOjAsInEiOjYsInIiOjd9fQAAAAAAAAAAAAAAAAAAAEABAAAAAAAABQAAADI1Ni4wAAAALQEAAHsid2FzX2ZpcnN0X2V2ZW50Ijp0cnVlLCJpbWFnZV9pZCI6WzIzNTQ3ODE3MywxNDI2NjM0MzQwLDE3MjQ0MzQ2OTQsMTI2OTE1MTIzNSwyMjk5Njg3NTA5LDMzMzM3NzAwMzksMzc2MTE2MDA5Myw0MDA1NDU4Mzc2XSwicWYiOnsiYiI6WzAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDBdLCJsIjowLCJxIjo2LCJyIjo3fX0AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA=='}}
prove_2;68;16;Mul;1088;1344;1344.0;841;0.06306779199985613;{'verificationValue': 1344.0, 'proof': {'imageId': [235478173, 1426634340, 1724434694, 1269151235, 2299687509, 3333770039, 3761160093, 4005458376], 'receipt': 'AwAAAAAAAAAAAAAAmL4gACyGqXD9SCTqBr57Fe21xvS89IksDAnB7FD2cs3kOUscAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAQAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAEAAAAAQAEAAAAAAAAGAAAAMTM0NC4wAAAtAQAAeyJ3YXNfZmlyc3RfZXZlbnQiOnRydWUsImltYWdlX2lkIjpbMjM1NDc4MTczLDE0MjY2MzQzNDAsMTcyNDQzNDY5NCwxMjY5MTUxMjM1LDIyOTk2ODc1MDksMzMzMzc3MDAzOSwzNzYxMTYwMDkzLDQwMDU0NTgzNzZdLCJxZiI6eyJiIjpbMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMF0sImwiOjAsInEiOjYsInIiOjd9fQAAAAAAAAAAAAAAAAAAAEABAAAAAAAABgAAADEzNDQuMAAALQEAAHsid2FzX2ZpcnN0X2V2ZW50Ijp0cnVlLCJpbWFnZV9pZCI6WzIzNTQ3ODE3MywxNDI2NjM0MzQwLDE3MjQ0MzQ2OTQsMTI2OTE1MTIzNSwyMjk5Njg3NTA5LDMzMzM3NzAwMzksMzc2MTE2MDA5Myw0MDA1NDU4Mzc2XSwicWYiOnsiYiI6WzAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDBdLCJsIjowLCJxIjo2LCJyIjo3fX0AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA=='}}
prove_3;54;58;Mul;3132;4476;4476.0;841;0.06251966699892364;{'verificationValue': 4476.0, 'proof': {'imageId': [235478173, 1426634340, 1724434694, 1269151235, 2299687509, 3333770039, 3761160093, 4005458376], 'receipt': 'AwAAAAAAAAAAAAAAmL4gACyGqXD9SCTqBr57Fe21xvS89IksDAnB7FD2cs3kOUscAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAQAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAEAAAAAQAEAAAAAAAAGAAAANDQ3Ni4wAAAtAQAAeyJ3YXNfZmlyc3RfZXZlbnQiOnRydWUsImltYWdlX2lkIjpbMjM1NDc4MTczLDE0MjY2MzQzNDAsMTcyNDQzNDY5NCwxMjY5MTUxMjM1LDIyOTk2ODc1MDksMzMzMzc3MDAzOSwzNzYxMTYwMDkzLDQwMDU0NTgzNzZdLCJxZiI6eyJiIjpbMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMF0sImwiOjAsInEiOjYsInIiOjd9fQAAAAAAAAAAAAAAAAAAAEABAAAAAAAABgAAADQ0NzYuMAAALQEAAHsid2FzX2ZpcnN0X2V2ZW50Ijp0cnVlLCJpbWFnZV9pZCI6WzIzNTQ3ODE3MywxNDI2NjM0MzQwLDE3MjQ0MzQ2OTQsMTI2OTE1MTIzNSwyMjk5Njg3NTA5LDMzMzM3NzAwMzksMzc2MTE2MDA5Myw0MDA1NDU4Mzc2XSwicWYiOnsiYiI6WzAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDBdLCJsIjowLCJxIjo2LCJyIjo3fX0AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA=='}}
prove_4;20;59;Mul;1180;5656;5656.0;841;0.06309895900085394;{'verificationValue': 5656.0, 'proof': {'imageId': [235478173, 1426634340, 1724434694, 1269151235, 2299687509, 3333770039, 3761160093, 4005458376], 'receipt': 'AwAAAAAAAAAAAAAAmL4gACyGqXD9SCTqBr57Fe21xvS89IksDAnB7FD2cs3kOUscAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAQAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAEAAAAAQAEAAAAAAAAGAAAANTY1Ni4wAAAtAQAAeyJ3YXNfZmlyc3RfZXZlbnQiOnRydWUsImltYWdlX2lkIjpbMjM1NDc4MTczLDE0MjY2MzQzNDAsMTcyNDQzNDY5NCwxMjY5MTUxMjM1LDIyOTk2ODc1MDksMzMzMzc3MDAzOSwzNzYxMTYwMDkzLDQwMDU0NTgzNzZdLCJxZiI6eyJiIjpbMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMF0sImwiOjAsInEiOjYsInIiOjd9fQAAAAAAAAAAAAAAAAAAAEABAAAAAAAABgAAADU2NTYuMAAALQEAAHsid2FzX2ZpcnN0X2V2ZW50Ijp0cnVlLCJpbWFnZV9pZCI6WzIzNTQ3ODE3MywxNDI2NjM0MzQwLDE3MjQ0MzQ2OTQsMTI2OTE1MTIzNSwyMjk5Njg3NTA5LDMzMzM3NzAwMzksMzc2MTE2MDA5Myw0MDA1NDU4Mzc2XSwicWYiOnsiYiI6WzAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDBdLCJsIjowLCJxIjo2LCJyIjo3fX0AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA=='}}
prove_5;52;15;Mul;780;6436;6436.0;841;0.0631405830008589;{'verificationValue': 6436.0, 'proof': {'imageId': [235478173, 1426634340, 1724434694, 1269151235, 2299687509, 3333770039, 3761160093, 4005458376], 'receipt': 'AwAAAAAAAAAAAAAAmL4gACyGqXD9SCTqBr57Fe21xvS89IksDAnB7FD2cs3kOUscAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAQAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAEAAAAAQAEAAAAAAAAGAAAANjQzNi4wAAAtAQAAeyJ3YXNfZmlyc3RfZXZlbnQiOnRydWUsImltYWdlX2lkIjpbMjM1NDc4MTczLDE0MjY2MzQzNDAsMTcyNDQzNDY5NCwxMjY5MTUxMjM1LDIyOTk2ODc1MDksMzMzMzc3MDAzOSwzNzYxMTYwMDkzLDQwMDU0NTgzNzZdLCJxZiI6eyJiIjpbMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMF0sImwiOjAsInEiOjYsInIiOjd9fQAAAAAAAAAAAAAAAAAAAEABAAAAAAAABgAAADY0MzYuMAAALQEAAHsid2FzX2ZpcnN0X2V2ZW50Ijp0cnVlLCJpbWFnZV9pZCI6WzIzNTQ3ODE3MywxNDI2NjM0MzQwLDE3MjQ0MzQ2OTQsMTI2OTE1MTIzNSwyMjk5Njg3NTA5LDMzMzM3NzAwMzksMzc2MTE2MDA5Myw0MDA1NDU4Mzc2XSwicWYiOnsiYiI6WzAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDBdLCJsIjowLCJxIjo2LCJyIjo3fX0AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA=='}}
prove_6;88;38;Mul;3344;9780;9780.0;841;0.06564716699904238;{'verificationValue': 9780.0, 'proof': {'imageId': [235478173, 1426634340, 1724434694, 1269151235, 2299687509, 3333770039, 3761160093, 4005458376], 'receipt': 'AwAAAAAAAAAAAAAAmL4gACyGqXD9SCTqBr57Fe21xvS89IksDAnB7FD2cs3kOUscAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAQAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAEAAAAAQAEAAAAAAAAGAAAAOTc4MC4wAAAtAQAAeyJ3YXNfZmlyc3RfZXZlbnQiOnRydWUsImltYWdlX2lkIjpbMjM1NDc4MTczLDE0MjY2MzQzNDAsMTcyNDQzNDY5NCwxMjY5MTUxMjM1LDIyOTk2ODc1MDksMzMzMzc3MDAzOSwzNzYxMTYwMDkzLDQwMDU0NTgzNzZdLCJxZiI6eyJiIjpbMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMF0sImwiOjAsInEiOjYsInIiOjd9fQAAAAAAAAAAAAAAAAAAAEABAAAAAAAABgAAADk3ODAuMAAALQEAAHsid2FzX2ZpcnN0X2V2ZW50Ijp0cnVlLCJpbWFnZV9pZCI6WzIzNTQ3ODE3MywxNDI2NjM0MzQwLDE3MjQ0MzQ2OTQsMTI2OTE1MTIzNSwyMjk5Njg3NTA5LDMzMzM3NzAwMzksMzc2MTE2MDA5Myw0MDA1NDU4Mzc2XSwicWYiOnsiYiI6WzAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDBdLCJsIjowLCJxIjo2LCJyIjo3fX0AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA=='}}
prove_7;89;61;Mul;5429;15209;15209.0;841;0.06469937499969092;{'verificationValue': 15209.0, 'proof': {'imageId': [235478173, 1426634340, 1724434694, 1269151235, 2299687509, 3333770039, 3761160093, 4005458376], 'receipt': 'AwAAAAAAAAAAAAAAmL4gACyGqXD9SCTqBr57Fe21xvS89IksDAnB7FD2cs3kOUscAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAQAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAEAAAAAQAEAAAAAAAAHAAAAMTUyMDkuMAAtAQAAeyJ3YXNfZmlyc3RfZXZlbnQiOnRydWUsImltYWdlX2lkIjpbMjM1NDc4MTczLDE0MjY2MzQzNDAsMTcyNDQzNDY5NCwxMjY5MTUxMjM1LDIyOTk2ODc1MDksMzMzMzc3MDAzOSwzNzYxMTYwMDkzLDQwMDU0NTgzNzZdLCJxZiI6eyJiIjpbMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMF0sImwiOjAsInEiOjYsInIiOjd9fQAAAAAAAAAAAAAAAAAAAEABAAAAAAAABwAAADE1MjA5LjAALQEAAHsid2FzX2ZpcnN0X2V2ZW50Ijp0cnVlLCJpbWFnZV9pZCI6WzIzNTQ3ODE3MywxNDI2NjM0MzQwLDE3MjQ0MzQ2OTQsMTI2OTE1MTIzNSwyMjk5Njg3NTA5LDMzMzM3NzAwMzksMzc2MTE2MDA5Myw0MDA1NDU4Mzc2XSwicWYiOnsiYiI6WzAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDBdLCJsIjowLCJxIjo2LCJyIjo3fX0AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA=='}}
prove_8;3;72;Mul;216;15425;15425.0;841;0.06412762500076497;{'verificationValue': 15425.0, 'proof': {'imageId': [235478173, 1426634340, 1724434694, 1269151235, 2299687509, 3333770039, 3761160093, 4005458376], 'receipt': 'AwAAAAAAAAAAAAAAmL4gACyGqXD9SCTqBr57Fe21xvS89IksDAnB7FD2cs3kOUscAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAQAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAEAAAAAQAEAAAAAAAAHAAAAMTU0MjUuMAAtAQAAeyJ3YXNfZmlyc3RfZXZlbnQiOnRydWUsImltYWdlX2lkIjpbMjM1NDc4MTczLDE0MjY2MzQzNDAsMTcyNDQzNDY5NCwxMjY5MTUxMjM1LDIyOTk2ODc1MDksMzMzMzc3MDAzOSwzNzYxMTYwMDkzLDQwMDU0NTgzNzZdLCJxZiI6eyJiIjpbMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMF0sImwiOjAsInEiOjYsInIiOjd9fQAAAAAAAAAAAAAAAAAAAEABAAAAAAAABwAAADE1NDI1LjAALQEAAHsid2FzX2ZpcnN0X2V2ZW50Ijp0cnVlLCJpbWFnZV9pZCI6WzIzNTQ3ODE3MywxNDI2NjM0MzQwLDE3MjQ0MzQ2OTQsMTI2OTE1MTIzNSwyMjk5Njg3NTA5LDMzMzM3NzAwMzksMzc2MTE2MDA5Myw0MDA1NDU4Mzc2XSwicWYiOnsiYiI6WzAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDBdLCJsIjowLCJxIjo2LCJyIjo3fX0AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA=='}}
prove_9;2;77;Mul;154;15579;15579.0;841;0.06360516600034316;{'verificationValue': 15579.0, 'proof': {'imageId': [235478173, 1426634340, 1724434694, 1269151235, 2299687509, 3333770039, 3761160093, 4005458376], 'receipt': 'AwAAAAAAAAAAAAAAmL4gACyGqXD9SCTqBr57Fe21xvS89IksDAnB7FD2cs3kOUscAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAQAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAEAAAAAQAEAAAAAAAAHAAAAMTU1NzkuMAAtAQAAeyJ3YXNfZmlyc3RfZXZlbnQiOnRydWUsImltYWdlX2lkIjpbMjM1NDc4MTczLDE0MjY2MzQzNDAsMTcyNDQzNDY5NCwxMjY5MTUxMjM1LDIyOTk2ODc1MDksMzMzMzc3MDAzOSwzNzYxMTYwMDkzLDQwMDU0NTgzNzZdLCJxZiI6eyJiIjpbMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMF0sImwiOjAsInEiOjYsInIiOjd9fQAAAAAAAAAAAAAAAAAAAEABAAAAAAAABwAAADE1NTc5LjAALQEAAHsid2FzX2ZpcnN0X2V2ZW50Ijp0cnVlLCJpbWFnZV9pZCI6WzIzNTQ3ODE3MywxNDI2NjM0MzQwLDE3MjQ0MzQ2OTQsMTI2OTE1MTIzNSwyMjk5Njg3NTA5LDMzMzM3NzAwMzksMzc2MTE2MDA5Myw0MDA1NDU4Mzc2XSwicWYiOnsiYiI6WzAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDAsMCwwLDBdLCJsIjowLCJxIjo2LCJyIjo3fX0AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA=='}}
